instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
synthesized/except_one/groupCard/medium/root_57.uvl,-1;-1;-1,-4,1.56;1.98;1.93,19562,0.05;0.02;0.02,-3;-3;-3,-4,0.07;0.07;0.07,268464004647616512,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_58.uvl,-1;-1;-1,-4,2.02;1.67;1.76,13320,0.02;0.02;0.02,-3;-3;-3,-4,0.04;0.04;0.10,45298483200,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_59.uvl,-1;-1;-1,-4,1.65;1.45;1.73,15132,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.05;0.06,16415620641765457920000,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_5.uvl,2.27;2.34;1.99,53813,1.71;1.68;1.97,24079,0.03;0.03;0.03,0.11;0.09;0.10,96,0.06;0.06;0.06,96,0.70;0.80;1.20,96
synthesized/except_one/groupCard/medium/root_60.uvl,-1;-1;-1,-4,2.03;1.90;1.84,13276,0.02;0.02;0.02,-3;-3;-3,-4,0.04;0.05;0.05,876632616381154590720,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_61.uvl,-1;-1;-1,-4,1.56;1.95;1.53,16728,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.05;0.09,594542592,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_62.uvl,-1;-1;-1,-4,1.60;1.83;1.72,31201,0.03;0.03;-9,-3;-3;-3,-4,0.08;0.08;0.08,65536,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_63.uvl,-1;-1;-3,-4,2.38;2.46;2.46,110969,-9;0.10;0.11,-3;-3;-3,-4,1.30;1.33;1.39,21020718047932651219931413610496,-3;-3;-3,-4
synthesized/except_one/groupCard/medium/root_64.uvl,-1;-1;-1,-4,1.60;1.80;1.67,35430,0.04;0.04;0.04,-3;-3;-3,-4,0.11;0.11;0.12,85498024175861760,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_65.uvl,-1;-1;-1,-4,1.53;1.51;1.64,18876,0.02;0.02;0.02,-3;-3;-3,-4,0.06;8.30;0.12,1612431360,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_66.uvl,-1;-1;-1,-4,1.74;1.78;1.71,38236,-9;-9;0.04,-3;-3;-3,-4,0.72;0.72;0.82,1056649373626304809749404712960,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_67.uvl,-3;-3;-3,-4,2.59;2.46;3.21,231322,0.22;0.22;0.21,-3;-3;-3,-4,253.97;264.29;258.44,157927545168617831501698805594903633269798904650238118120844060262400,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_68.uvl,-1;-1;-1,-4,1.59;1.46;1.69,16514,0.02;0.02;0.02,-3;-3;-3,-4,0.13;0.07;0.07,5432686952841216,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_69.uvl,-1;-1;-1,-4,1.82;1.71;1.76,18321,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.05;0.05,360287970189639680,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_6.uvl,-1;-1;-1,-4,1.86;1.69;1.71,27901,0.03;0.04;0.04,-3;-3;-3,-4,0.26;0.15;0.15,3288114477028188283207680000,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_70.uvl,-1;-1;-1,-4,1.64;1.45;1.81,12573,0.02;0.01;0.02,-3;-3;-3,-4,0.04;0.04;0.04,7077888,16.02;16.99;17.18,7077888
synthesized/except_one/groupCard/medium/root_71.uvl,-1;-1;-1,-4,2.06;1.88;1.52,15707,0.02;0.02;0.02,-3;-3;-3,-4,0.13;0.09;0.08,704643072,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_72.uvl,-1;-1;-1,-4,1.61;1.74;1.63,11850,0.01;0.01;0.01,-3;-3;-3,-4,0.04;0.04;0.04,91197892454252544,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_73.uvl,-1;-1;-1,-4,2.22;1.93;1.96,52177,0.05;0.05;0.08,-3;-3;-3,-4,0.29;0.30;0.27,1589673679388524716986021053464576,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_74.uvl,-1;-1;-1,-4,1.93;1.72;1.81,34768,0.04;0.04;0.03,-3;-3;-3,-4,0.09;0.11;0.10,45425000051638272,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_75.uvl,-1;-1;-1,-4,1.48;2.09;1.84,17120,0.03;0.05;0.03,-3;-3;-3,-4,0.05;0.05;0.18,589824,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_76.uvl,-1;-1;-1,-4,1.66;1.73;1.50,10108,0.01;0.01;0.01,-3;-3;-3,-4,0.03;0.03;0.04,3221225472000,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_77.uvl,-1;-1;-1,-4,2.19;1.93;2.28,76060,0.07;0.07;0.07,-3;-3;-3,-4,0.34;0.34;0.34,20173353342649390596096,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_78.uvl,-1;-1;-1,-4,2.03;1.98;1.90,29885,0.03;0.03;0.03,-3;-3;-3,-4,0.08;0.09;0.09,405874409472,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_79.uvl,-1;-1;-1,-4,1.56;1.61;1.94,23979,0.03;0.03;0.03,-3;-3;-3,-4,0.07;0.07;0.07,1350729847689330032640,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_7.uvl,-1;-1;-1,-4,2.07;1.79;1.60,28072,0.04;0.03;0.04,-3;-3;-3,-4,0.09;0.09;0.08,7694822175827558400,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_80.uvl,-1;-1;-1,-4,1.74;1.88;1.76,13635,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.05;0.05,11808135719421061767490437120,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_81.uvl,-1;-1;-1,-4,1.58;1.93;1.58,13842,0.03;0.02;0.02,-3;-3;-3,-4,0.04;0.04;0.04,193273528320,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_82.uvl,-1;-1;-1,-4,1.82;1.90;1.69,18043,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.14;0.13,45598946227126272,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_83.uvl,-3;-3;-3,-4,2.43;2.56;2.53,208307,0.20;0.21;0.22,-3;-3;-3,-4,3.13;4.02;3.10,1370190013975568903247992406412927360086201609312043334760542696705298458768796391833600,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_84.uvl,-1;-1;-1,-4,1.51;1.62;1.97,30828,0.03;0.03;0.03,-3;-3;-3,-4,0.10;0.09;0.09,603983232,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_85.uvl,-1;-1;-3,-4,1.86;1.94;1.92,82617,0.09;0.09;0.08,-3;-3;-3,-4,0.23;0.24;0.24,7079314257207252086127446073714405059439840920076288,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_86.uvl,-1;-1;-1,-4,1.72;1.68;2.24,30395,0.04;0.03;0.03,-3;-3;-3,-4,0.10;0.08;0.08,307792887033102336,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_87.uvl,-1;-1;-1,-4,1.65;2.15;1.56,14348,0.02;0.02;0.02,-3;-3;-3,-4,0.04;0.04;0.05,3530015062805244071116800,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_88.uvl,-1;-1;-1,-4,1.98;3.50;1.92,60554,0.06;0.06;0.06,-3;-3;-3,-4,0.21;0.17;0.24,132120576,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_89.uvl,-1;-1;-1,-4,1.79;2.27;2.11,106281,0.11;0.10;0.10,-3;-3;-3,-4,2.90;2.94;2.86,44987736699116070721742973173760,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_8.uvl,-1;-1;-1,-4,1.71;1.67;1.42,20784,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.06;0.15,5191630848,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_90.uvl,-1;-1;-1,-4,1.72;1.57;1.71,13766,0.02;0.02;0.02,-3;-3;-3,-4,0.05;0.09;0.09,3035065860877524664320,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_91.uvl,-1;-1;-1,-4,1.94;1.83;1.85,17835,0.02;0.02;0.03,-3;-3;-3,-4,0.15;0.06;0.05,4078196144786931573269200896,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_92.uvl,-1;-1;-1,-4,1.78;1.83;2.04,30460,0.03;0.03;0.03,-3;-3;-3,-4,0.08;0.08;0.11,1419400791982080,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_93.uvl,-1;-1;-1,-4,1.72;1.85;1.94,32068,0.03;0.04;0.03,-3;-3;-3,-4,0.09;0.09;0.09,8624831201280,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_94.uvl,-1;-1;-1,-4,1.78;1.87;2.02,15840,0.02;0.02;0.03,-3;-3;-3,-4,0.05;0.05;0.05,5435817984,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_95.uvl,-1;-1;-1,-4,1.66;1.70;1.50,29800,0.03;0.03;0.04,-3;-3;-3,-4,0.08;0.08;0.08,28085059584,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_96.uvl,-1;-1;-1,-4,1.51;3.06;1.63,11542,0.01;0.06;0.01,-3;-3;-3,-4,0.11;0.05;0.05,1021999790665410122123657592480391495680,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_97.uvl,-1;-1;-1,-4,1.88;1.87;1.80,49022,0.05;0.05;0.05,-3;-3;-3,-4,0.12;0.12;0.12,13701281218560,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_98.uvl,-1;-1;-1,-4,2.19;2.22;2.25,43520,0.05;0.05;0.05,-3;-3;-3,-4,0.25;0.25;0.25,80368819661177708493328728728872560343270733905920,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_99.uvl,-1;-1;-1,-4,2.18;1.66;1.53,27790,0.03;0.03;0.03,-3;-3;-3,-4,0.08;0.11;0.07,29807416631623680,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_9.uvl,-1;-1;-1,-4,1.84;1.54;1.54,21622,0.03;0.03;0.02,-3;-3;-3,-4,0.07;0.07;0.07,763326359842093793280,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_100.uvl,-1;-1;-1,-4,0.93;1.02;0.90,1961,0.00;0.00;0.00,-3;-3;-3,-4,0.05;0.01;0.01,16,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_10.uvl,-1;-1;-1,-4,0.78;0.83;0.82,2327,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.01,786432,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_11.uvl,-1;-1;-1,-4,0.81;0.81;0.89,3954,0.01;0.01;0.01,-3;-3;-3,-4,0.01;0.01;0.01,2,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_12.uvl,-1;-1;-1,-4,0.90;0.83;0.94,3426,0.01;0.01;0.00,-3;-3;-3,-4,0.01;0.01;0.06,491520,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_13.uvl,-1;-1;-1,-4,0.88;0.92;0.98,1778,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.01,72,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_14.uvl,-1;-1;-1,-4,1.02;0.85;1.00,1744,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.07,3072,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_15.uvl,-1;-1;-1,-4,0.91;0.88;0.86,2142,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.01,1152,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_16.uvl,-1;-1;-1,-4,0.99;0.95;0.87,4470,0.01;0.02;0.01,-3;-3;-3,-4,0.05;0.08;0.06,72,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_17.uvl,-1;-1;-1,-4,1.43;0.98;0.99,16941,0.02;0.02;0.02,-3;-3;-3,-4,0.07;0.07;0.07,47996928,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_18.uvl,-1;-1;-1,-4,1.03;1.06;0.89,9728,0.01;0.01;0.01,-3;-3;-3,-4,0.08;0.04;0.04,9242334684774400,-3;-3;-3,-9
