instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
isolated/featureCard/featureCard_0.25_1.0/root_300.uvl,4.53;4.30;3.55,2763532,0.97;0.91;0.90,96606,0.13;0.11;0.11,-1;-1;-1,-9,12.60;15.33;18.07,39389215238757458852793275108588635394976652980821960413275698643493365038982300942964274185154279432485834703859931793924942268282608936091789294455243941196233470951273904461589511310520257489898956802923214958614349581848876006589543170922256058078310183844028318041569079247737137600670301255343898612465104126243768690827135946918227229411792246298211068848005658865272382147313439381546461691538104901891755284814480536296405047037148655819794093682110058309256307991480869497669608249111925834084957186483945208919618993296765608634838165748763983121027540779298116540879493132253670800655952106443991177672816652246216641390084421761964200079483518717639262209,28.80;30.83;19.45,-9
isolated/featureCard/featureCard_0.25_1.0/root_3100.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3200.uvl,-3;-3;-1,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3300.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3400.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3500.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3600.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3700.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3800.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3900.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4000.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
